Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Efficiency
0.75,9,1.25,45,3,0.05,1500,0.38
0.75,9,1.25,45,3,0.05,2000,0.19
0.75,9,1.25,45,3,0.05,2500,0.42
0.75,9,1.25,60,3,0.05,500,0.17
0.75,9,1.25,60,3,0.05,1000,0.21
0.75,9,1.25,60,3,0.05,1500,0.22
0.75,9,1.25,60,3,0.05,2000,0.21
0.75,9,1.25,60,3,0.05,2500,0.21
0.75,9,1.5,30,3,0.05,500,0.34
0.75,9,1.5,30,3,0.05,1000,0.32
0.75,9,1.5,30,3,0.05,1500,0.30
0.75,9,1.5,30,3,0.05,2000,0.33
0.75,9,1.5,30,3,0.05,2500,0.31
0.75,9,1.5,45,3,0.05,500,0.39
0.75,9,1.5,45,3,0.05,1000,0.37
0.75,9,1.5,45,3,0.05,1500,0.38
0.75,9,1.5,45,3,0.05,2000,0.06
0.75,9,1.5,45,3,0.05,2500,0.42
0.75,9,1.5,60,3,0.05,500,0.10
0.75,9,1.5,60,3,0.05,1000,0.12
0.75,9,1.5,60,3,0.05,1500,0.12
0.75,9,1.5,60,3,0.05,2000,0.01
0.75,9,1.5,60,3,0.05,2500,0.02
0.75,11,0.25,30,3,0.05,500,0.04
