Arc Center Distance,Diameter,Width,Pitch,Blade Count,Rotational Speed,Thrust
1.75,11,0.75,30,3,1000,21.69634992
1.75,11,0.75,30,3,1500,50.14919127
1.75,11,0.75,30,3,2000,59.04822712
1.75,11,0.75,45,3,500,7.407078968
1.75,11,0.75,45,3,1000,26.50897228
1.75,11,0.75,45,3,1500,52.31204863
1.75,11,0.75,45,3,2000,112.3177569
1.75,11,0.75,60,3,500,2.571330169
1.75,11,0.75,60,3,1500,28.92622874
1.75,11,1.25,30,3,500,8.631152253
1.75,11,1.25,30,3,1000,34.23990925
1.75,11,1.25,30,3,1500,97.62133227
1.75,11,1.25,30,3,2000,150.8275011
1.75,11,1.25,45,3,500,8.047969385
1.75,11,1.25,45,3,1000,41.76080689
1.75,11,1.25,45,3,1500,71.26752082
1.75,11,1.25,45,3,2000,126.3064724
1.75,11,1.25,60,3,500,3.453377647
1.75,11,1.25,60,3,1000,14.40545626
1.75,11,1.25,60,3,1500,33.90476038
1.75,11,1.25,60,3,2000,43.54018513
1.75,11,1.5,30,3,500,8.37788013
1.75,11,1.5,30,3,1000,33.3612425
1.75,11,1.5,30,3,1500,73.58266857
1.75,11,1.5,30,3,2000,133.0888704
1.75,11,1.5,45,3,500,3.982862815
1.75,11,1.5,45,3,1000,17.31796735
1.75,11,1.5,45,3,1500,39.84905753
1.75,11,1.5,45,3,2000,65.61047681
1.75,11,1.5,60,3,500,3.956205229
1.75,11,1.5,60,3,1000,16.57791656
1.75,11,1.5,60,3,1500,33.86292903
1.75,11,1.5,60,3,2000,49.06068582
2,7,1.5,30,3,1000,1.8838103
2,7,1.5,30,3,1500,4.245917938
2,7,1.5,30,3,2000,7.142850058
