Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.25,11,1.5,60,3,0.05,1500,77.67973326,0.32,
0.25,11,1.5,60,3,0.05,2000,128.6269307,0.31,
0.25,11,1.5,60,3,0.05,2500,64.80627743,0.05,
0.75,3,0.25,30,3,0.05,500,0.004359833988,0.03,
0.75,3,0.25,30,3,0.05,1000,0.01760762746,0.04,
0.75,3,0.25,30,3,0.05,1500,0.04081737839,0.04,
0.75,3,0.25,30,3,0.05,2000,0.07160528399,0.04,
0.75,3,0.25,30,3,0.05,2500,0.1143758571,0.05,
0.75,3,0.25,45,3,0.05,500,0.008277168896,0.06,
0.75,3,0.25,45,3,0.05,1000,0.03379424079,0.07,
0.75,3,0.25,45,3,0.05,1500,0.07503069031,0.07,
0.75,3,0.25,45,3,0.05,2000,0.1318452819,0.07,
0.75,3,0.25,45,3,0.05,2500,0.2140271815,0.08,
0.75,3,0.25,60,3,0.05,500,0.008559517506,0.05,
0.75,3,0.25,60,3,0.05,1000,0.03440710014,0.06,
0.75,3,0.25,60,3,0.05,1500,0.07857960474,0.06,
0.75,3,0.25,60,3,0.05,2000,0.1389374483,0.06,
0.75,3,0.25,60,3,0.05,2500,0.2150482597,0.06,
0.75,3,0.75,30,3,0.05,500,0.02238966233,0.08,
0.75,3,0.75,30,3,0.05,1000,0.09055500433,0.09,
0.75,3,0.75,30,3,0.05,1500,0.2027609343,0.09,
0.75,3,0.75,30,3,0.05,2000,0.3606081736,0.10,
0.75,3,0.75,30,3,0.05,2500,0.5680800489,0.10,
0.75,3,0.75,45,3,0.05,500,0.01377758054,0.03,
0.75,3,0.75,45,3,0.05,1000,0.04905407023,0.02,
0.75,3,0.75,45,3,0.05,1500,0.1102484519,0.02,
0.75,3,0.75,45,3,0.05,2000,0.2098016272,0.03,
0.75,3,0.75,45,3,0.05,2500,0.347331149,0.03,
0.75,3,0.75,60,3,0.05,500,0.01010942885,0.01,
0.75,3,0.75,60,3,0.05,1000,0.03861515626,0.01,
0.75,3,0.75,60,3,0.05,1500,0.09725452202,0.01,
0.75,3,0.75,60,3,0.05,2000,0.1675688171,0.01,
0.75,3,0.75,60,3,0.05,2500,0.2712534832,0.01,
0.75,3,1.25,30,3,0.05,500,0.0003810977517,0.00,
0.75,3,1.25,30,3,0.05,1000,0.004982597587,0.00,
0.75,3,1.25,30,3,0.05,1500,0.02168624959,0.00,
0.75,3,1.25,30,3,0.05,2000,0.03222015123,0.00,
0.75,3,1.25,30,3,0.05,2500,0.04908222655,0.00,
0.75,3,1.25,45,3,0.05,500,0.00009854408534,0.00,
0.75,3,1.25,45,3,0.05,1000,0.02551074016,0.00,
0.75,3,1.25,45,3,0.05,1500,0.05358871821,0.00,
0.75,3,1.25,45,3,0.05,2000,0.1043835353,0.00,
0.75,3,1.25,45,3,0.05,2500,0.1286085289,0.00,
0.75,3,1.25,60,3,0.05,500,0.07210202221,0.05,
0.75,3,1.25,60,3,0.05,1000,0.2887160953,0.06,
0.75,3,1.25,60,3,0.05,1500,0.160995617,0.01,
0.75,3,1.25,60,3,0.05,2000,0.2572330123,0.01,
0.75,3,1.25,60,3,0.05,2500,0.363527427,0.01,
0.75,3,1.5,30,3,0.05,500,0.006007778916,0.00,
0.75,3,1.5,30,3,0.05,1000,0.02372093556,0.00,
0.75,3,1.5,30,3,0.05,1500,0.05632583678,0.00,
0.75,3,1.5,30,3,0.05,2000,0.1006207924,0.00,
0.75,3,1.5,30,3,0.05,2500,0.1668497245,0.00,
0.75,3,1.5,45,3,0.05,500,0.01272112349,0.00,
0.75,3,1.5,45,3,0.05,1000,0.05259386013,0.00,
0.75,3,1.5,45,3,0.05,1500,0.1167542642,0.00,
0.75,3,1.5,45,3,0.05,2000,0.2177810348,0.00,
0.75,3,1.5,45,3,0.05,2500,0.3664467458,0.00,
0.75,3,1.5,60,3,0.05,500,0.08462895409,0.02,
0.75,3,1.5,60,3,0.05,1000,0.3330973429,0.02,
0.75,3,1.5,60,3,0.05,1500,0.6697592886,0.02,
0.75,3,1.5,60,3,0.05,2000,0.2166899688,0.00,
